"","onDate","barOpen","barHigh","barLow","barClose","symbols","direction","justOpened","id","openFlag","openDate","openPrice","openQty","openReason","openCase","closeFlag","closeDate","closePrice","closeQty","closeReason","slpPrice","trailPrice","trailSlpPrice","trailTrigFlag","pbPrice","pbQty","pbCount","barCount"
"1",2016-02-23,165,165,158,158.5,"SBIN","LONG",TRUE,2,TRUE,2016-02-22,164.95,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",155.95,176.95,NA,FALSE,179.95,0,0,1
"2",2016-02-24,156,160.7,155.3,156.3,"SBIN","LONG",TRUE,2,TRUE,2016-02-22,164.95,6000,"Case#1","Case#1",TRUE,2016-02-24,155.95,6000,"SLP hit",155.95,176.95,NA,FALSE,179.95,0,0,2
"3",2016-02-25,157.6,158.1,151,151.8,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",147.3,168.3,NA,FALSE,171.3,0,0,1
"4",2016-02-26,155.5,158.7,152.55,155.9,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",147.3,168.3,NA,FALSE,171.3,0,0,2
"5",2016-02-29,158.2,163.9,153,158.75,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",147.3,168.3,NA,FALSE,171.3,0,0,3
"6",2016-03-01,160.5,162.9,158.55,162.05,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",147.3,168.3,NA,FALSE,171.3,0,0,4
"7",2016-03-02,172.5,183.2,172.5,181.15,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,6000,"Case#1","Case#1",TRUE,2016-03-02,172.5,3000,"Profit Booking in Open",147.3,168.3,NA,FALSE,171.3,0,0,5
"8",2016-03-03,184,184.6,178.5,182.75,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,174.3,153.3,TRUE,186.3,0,0,6
"9",2016-03-04,183.4,189.85,178.5,188.4,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,180.3,159.3,TRUE,186.3,0,0,7
"10",2016-03-08,186.95,186.95,181.4,183.35,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,186.3,165.3,TRUE,201.3,0,0,8
"11",2016-03-09,180,184,178.7,183.4,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,9
"12",2016-03-10,184.75,184.75,179.4,180.5,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,10
"13",2016-03-11,180,182.65,177.55,180.1,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,11
"14",2016-03-14,182.45,183.4,180.7,181.75,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,12
"15",2016-03-15,181.65,186.2,181.65,185.3,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,13
"16",2016-03-16,185,185.9,181.6,185.2,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,14
"17",2016-03-17,188,189.3,185,186.35,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,15
"18",2016-03-18,186.85,192,186,191.25,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,16
"19",2016-03-21,193,197.3,193,196.8,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,192.3,171.3,TRUE,201.3,0,0,17
"20",2016-03-22,196.8,198.25,194.5,197.5,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,198.3,177.3,TRUE,201.3,0,0,18
"21",2016-03-23,196.9,197.6,195.3,196.6,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,198.3,177.3,TRUE,201.3,0,0,19
"22",2016-03-28,195.8,198.25,187.65,188.3,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,198.3,177.3,TRUE,201.3,0,0,20
"23",2016-03-29,188.5,191.25,186.65,189.5,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,198.3,177.3,TRUE,201.3,0,0,21
"24",2016-03-30,192.25,198.3,190.5,197.55,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,198.3,177.3,TRUE,201.3,0,0,22
"25",2016-03-31,197.85,198.75,192.35,194.25,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,204.3,183.3,TRUE,201.3,0,0,23
"26",2016-04-01,193.7,197.25,192,195.65,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,204.3,183.3,TRUE,201.3,0,0,24
"27",2016-04-04,197.3,197.45,192.55,194.7,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",FALSE,2016-03-02,172.5,0,"None",147.3,204.3,183.3,TRUE,201.3,0,0,25
"28",2016-04-05,193.9,194.55,183.3,184.35,"SBIN","LONG",TRUE,3,TRUE,2016-02-24,156.3,3000,"Case#1","Case#1",TRUE,2016-04-05,183.3,3000,"TrailingSLP hit",147.3,204.3,183.3,TRUE,201.3,0,0,26
"29",2016-04-22,193.6,201.5,191.55,200.15,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,1
"30",2016-04-25,200.95,202.55,195.8,197.05,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,2
"31",2016-04-26,195.95,201.4,194.55,200.95,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,3
"32",2016-04-27,200.9,200.9,195.5,196.15,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,4
"33",2016-04-28,196.75,198.2,191.2,192.05,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,5
"34",2016-04-29,191.9,194,186.45,189,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,6
"35",2016-05-02,187.6,188.45,185.5,186,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,NA,FALSE,209.35,0,0,7
"36",2016-05-03,187,189.35,183.65,184.05,"SBIN","LONG",TRUE,4,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",TRUE,2016-05-03,185.35,6000,"SLP hit",185.35,206.35,NA,FALSE,209.35,0,0,8
"37",2016-05-18,176.9,180.45,173.55,179.95,"SBIN","LONG",TRUE,5,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,NA,FALSE,191.85,0,0,1
"38",2016-05-19,181,181,171.9,172.7,"SBIN","LONG",TRUE,5,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,NA,FALSE,191.85,0,0,2
"39",2016-05-20,173.5,174.7,170.55,171.35,"SBIN","LONG",TRUE,5,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,NA,FALSE,191.85,0,0,3
"40",2016-05-23,172.3,172.7,168.2,168.4,"SBIN","LONG",TRUE,5,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,NA,FALSE,191.85,0,0,4
