"","onDate","barOpen","barHigh","barLow","barClose","symbols","direction","justOpened","id","openFlag","openDate","openPrice","openQty","openReason","openCase","closeFlag","closeDate","closePrice","closeQty","closeReason","slpPrice","trailPrice","trailSlpPrice","trailTrigFlag","pbPrice","pbQty","pbCount","barCount"
"1",2016-03-15,181.65,186.2,181.65,185.3,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",172.75,193.75,175.75,FALSE,196.75,0,0,1
"2",2016-03-16,185,185.9,181.6,185.2,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",172.75,193.75,175.75,FALSE,196.75,0,0,2
"3",2016-03-17,188,189.3,185,186.35,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",172.75,193.75,175.75,FALSE,196.75,0,0,3
"4",2016-03-18,186.85,192,186,191.25,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",172.75,193.75,175.75,FALSE,196.75,0,0,4
"5",2016-03-21,193,197.3,193,196.8,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,6000,"Case#1","Case#1",TRUE,2016-03-21,196.75,3000,"Profit Booking",172.75,193.75,175.75,FALSE,196.75,0,0,5
"6",2016-03-22,196.8,198.25,194.5,197.5,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,6
"7",2016-03-23,196.9,197.6,195.3,196.6,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,7
"8",2016-03-28,195.8,198.25,187.65,188.3,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,8
"9",2016-03-29,188.5,191.25,186.65,189.5,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,9
"10",2016-03-30,192.25,198.3,190.5,197.55,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,10
"11",2016-03-31,197.85,198.75,192.35,194.25,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,11
"12",2016-04-01,193.7,197.25,192,195.65,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,12
"13",2016-04-04,197.3,197.45,192.55,194.7,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,13
"14",2016-04-05,193.9,194.55,183.3,184.35,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,14
"15",2016-04-06,185,185.5,182.2,183.85,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",FALSE,2016-03-21,196.75,0,"None",172.75,199.75,181.75,TRUE,211.75,0,0,15
"16",2016-04-07,183.8,185.65,181,181.95,"SBIN","LONG",TRUE,2,TRUE,2016-03-14,181.75,3000,"Case#1","Case#1",TRUE,2016-04-07,181.75,3000,"TrailingSLP hit",172.75,199.75,181.75,TRUE,211.75,0,0,16
"17",2016-04-22,193.6,201.5,191.55,200.15,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,1
"18",2016-04-25,200.95,202.55,195.8,197.05,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,2
"19",2016-04-26,195.95,201.4,194.55,200.95,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,3
"20",2016-04-27,200.9,200.9,195.5,196.15,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,4
"21",2016-04-28,196.75,198.2,191.2,192.05,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,5
"22",2016-04-29,191.9,194,186.45,189,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,6
"23",2016-05-02,187.6,188.45,185.5,186,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",185.35,206.35,188.35,FALSE,209.35,0,0,7
"24",2016-05-03,187,189.35,183.65,184.05,"SBIN","LONG",TRUE,3,TRUE,2016-04-21,194.35,6000,"Case#1","Case#1",TRUE,2016-05-03,185.35,6000,"SLP hit",185.35,206.35,188.35,FALSE,209.35,0,0,8
"25",2016-05-18,176.9,180.45,173.55,179.95,"SBIN","LONG",TRUE,4,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,170.85,FALSE,191.85,0,0,1
"26",2016-05-19,181,181,171.9,172.7,"SBIN","LONG",TRUE,4,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,170.85,FALSE,191.85,0,0,2
"27",2016-05-20,173.5,174.7,170.55,171.35,"SBIN","LONG",TRUE,4,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,170.85,FALSE,191.85,0,0,3
"28",2016-05-23,172.3,172.7,168.2,168.4,"SBIN","LONG",TRUE,4,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",FALSE,1950-01-01,0,0,"None",167.85,188.85,170.85,FALSE,191.85,0,0,4
"29",2016-05-24,168.8,170.4,166.4,169.5,"SBIN","LONG",TRUE,4,TRUE,2016-05-17,176.85,6000,"Case#1","Case#1",TRUE,2016-05-24,167.85,6000,"SLP hit",167.85,188.85,170.85,FALSE,191.85,0,0,5
